Lot identifier,Lot name,Bidder number,Amount,Bid type,Status,Placed at,Bidder id
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",52,"365,000",manual,accepted,2025-02-06 01:59:44PM SAST,2704297
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"91,000",manual,accepted,2025-02-06 01:59:43PM SAST,1919665
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),24,"85,000",manual,accepted,2025-02-06 01:59:40PM SAST,2704143
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),41,"120,000",manual,accepted,2025-02-06 01:59:13PM SAST,2704216
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),52,"117,500",manual,accepted,2025-02-06 01:59:05PM SAST,2704297
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),42,"84,000",manual,accepted,2025-02-06 01:58:57PM SAST,2704218
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),42,"117,500",manual,sold,2025-02-06 01:58:54PM SAST,2704218
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"55,000",manual,accepted,2025-02-06 01:58:54PM SAST,2704216
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),24,"83,000",manual,accepted,2025-02-06 01:58:48PM SAST,2704143
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),4,"115,000",manual,accepted,2025-02-06 01:58:47PM SAST,1919665
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"54,000",manual,accepted,2025-02-06 01:58:45PM SAST,2704297
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"53,000",manual,accepted,2025-02-06 01:58:41PM SAST,2704216
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),47,"52,000",manual,accepted,2025-02-06 01:58:36PM SAST,2704233
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),41,"115,000",manual,accepted,2025-02-06 01:58:33PM SAST,2704216
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),34,"122,500",manual,accepted,2025-02-06 01:58:31PM SAST,2704195
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",31,"360,000",manual,accepted,2025-02-06 01:58:13PM SAST,2704166
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"51,000",manual,accepted,2025-02-06 01:58:11PM SAST,2704216
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",34,"355,000",manual,accepted,2025-02-06 01:58:06PM SAST,2704195
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"50,000",manual,accepted,2025-02-06 01:58:05PM SAST,2704297
60, I2870145 BUS PASSENGER 35-SEAT TATA LPO918 M027412 (2012),52,"122,500",manual,sold,2025-02-06 01:58:01PM SAST,2704297
51,S2170019 CRANE MOBILE TADANO TL250E 25 TON H0536 (2012),34,"180,000",manual,accepted,2025-02-06 01:58:00PM SAST,2704195
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),24,"49,500",manual,accepted,2025-02-06 01:57:57PM SAST,2704143
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),42,"82,000",manual,accepted,2025-02-06 01:57:56PM SAST,2704218
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),34,"90,000",manual,accepted,2025-02-06 01:57:55PM SAST,2704195
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"49,000",manual,accepted,2025-02-06 01:57:47PM SAST,2704297
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),52,"112,500",manual,accepted,2025-02-06 01:57:45PM SAST,2704297
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),4,"81,000",manual,accepted,2025-02-06 01:57:45PM SAST,1919665
63, D6770024 TRUCK TANKER DIESEL 6000L L3461 (2013),33,"58,000",manual,sold,2025-02-06 01:57:38PM SAST,2704190
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),52,"120,000",manual,accepted,2025-02-06 01:57:37PM SAST,2704297
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),47,"48,500",manual,accepted,2025-02-06 01:57:32PM SAST,2704233
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),42,"112,500",manual,accepted,2025-02-06 01:57:30PM SAST,2704218
60, I2870145 BUS PASSENGER 35-SEAT TATA LPO918 M027412 (2012),25,"120,000",manual,accepted,2025-02-06 01:57:26PM SAST,1899895
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),24,"48,000",manual,accepted,2025-02-06 01:57:24PM SAST,2704143
60, I2870145 BUS PASSENGER 35-SEAT TATA LPO918 M027412 (2012),42,"117,500",manual,accepted,2025-02-06 01:57:21PM SAST,2704218
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),4,"110,000",manual,accepted,2025-02-06 01:57:20PM SAST,1919665
63, D6770024 TRUCK TANKER DIESEL 6000L L3461 (2013),41,"57,000",manual,accepted,2025-02-06 01:57:16PM SAST,2704216
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"47,500",manual,accepted,2025-02-06 01:57:12PM SAST,2704216
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",31,"350,000",manual,accepted,2025-02-06 01:57:12PM SAST,2704166
63, D6770024 TRUCK TANKER DIESEL 6000L L3461 (2013),33,"56,000",manual,accepted,2025-02-06 01:57:10PM SAST,2704190
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),42,"107,500",manual,accepted,2025-02-06 01:57:06PM SAST,2704218
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"47,000",manual,accepted,2025-02-06 01:57:03PM SAST,2704297
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",34,"345,000",manual,accepted,2025-02-06 01:57:02PM SAST,2704195
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),4,"105,000",manual,accepted,2025-02-06 01:57:00PM SAST,1919665
63, D6770024 TRUCK TANKER DIESEL 6000L L3461 (2013),41,"55,000",manual,accepted,2025-02-06 01:56:55PM SAST,2704216
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"89,000",manual,accepted,2025-02-06 01:56:49PM SAST,1919665
51,S2170019 CRANE MOBILE TADANO TL250E 25 TON H0536 (2012),22,"177,500",manual,accepted,2025-02-06 01:56:46PM SAST,2704140
35,I3370617 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M085412 (2016),60,"32,500",manual,sold,2025-02-06 01:56:43PM SAST,2704400
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"46,500",manual,accepted,2025-02-06 01:56:42PM SAST,2704216
35,I3370617 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M085412 (2016),47,"32,000",manual,accepted,2025-02-06 01:56:36PM SAST,2704233
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),41,"110,000",manual,accepted,2025-02-06 01:56:30PM SAST,2704216
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"46,000",manual,accepted,2025-02-06 01:56:24PM SAST,2704297
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"45,500",manual,accepted,2025-02-06 01:56:13PM SAST,2704216
63, D6770024 TRUCK TANKER DIESEL 6000L L3461 (2013),33,"54,000",manual,accepted,2025-02-06 01:56:08PM SAST,2704190
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),24,"80,000",manual,accepted,2025-02-06 01:56:07PM SAST,2704143
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),42,"102,500",manual,accepted,2025-02-06 01:56:05PM SAST,2704218
11,F2320010 Pump Multi-Stage Matherplatt 150-200G L3684 (1982),47,"25,500",manual,sold,2025-02-06 01:56:02PM SAST,2704233
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),4,"100,000",auto,accepted,2025-02-06 01:55:59PM SAST,1919665
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),42,"100,000",manual,rejected,2025-02-06 01:55:59PM SAST,2704218
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),34,"88,000",manual,accepted,2025-02-06 01:55:59PM SAST,2704195
63, D6770024 TRUCK TANKER DIESEL 6000L L3461 (2013),41,"53,000",manual,accepted,2025-02-06 01:55:53PM SAST,2704216
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),4,"99,000",auto,accepted,2025-02-06 01:55:49PM SAST,1919665
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),42,"98,000",manual,outbid,2025-02-06 01:55:49PM SAST,2704218
35,I3370617 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M085412 (2016),60,"31,500",manual,accepted,2025-02-06 01:55:47PM SAST,2704400
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),42,"79,000",manual,accepted,2025-02-06 01:55:47PM SAST,2704218
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",31,"340,000",manual,accepted,2025-02-06 01:55:43PM SAST,2704166
35,I3370617 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M085412 (2016),47,"31,000",manual,accepted,2025-02-06 01:55:42PM SAST,2704233
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),34,"117,500",manual,accepted,2025-02-06 01:55:41PM SAST,2704195
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",22,"335,000",manual,accepted,2025-02-06 01:55:36PM SAST,2704140
11,F2320010 Pump Multi-Stage Matherplatt 150-200G L3684 (1982),43,"25,000",manual,accepted,2025-02-06 01:55:35PM SAST,2704220
11,F2320010 Pump Multi-Stage Matherplatt 150-200G L3684 (1982),47,"24,750",manual,accepted,2025-02-06 01:55:30PM SAST,2704233
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),52,"115,000",manual,accepted,2025-02-06 01:55:30PM SAST,2704297
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),52,"107,500",manual,accepted,2025-02-06 01:55:27PM SAST,2704297
60, I2870145 BUS PASSENGER 35-SEAT TATA LPO918 M027412 (2012),52,"115,000",manual,accepted,2025-02-06 01:55:24PM SAST,2704297
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",31,"330,000",manual,accepted,2025-02-06 01:55:21PM SAST,2704166
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),52,"45,000",manual,accepted,2025-02-06 01:55:15PM SAST,2704297
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),47,"44,500",manual,accepted,2025-02-06 01:55:12PM SAST,2704233
68,"A1400037 EXCAVATOR CRAWLER 20T JCB JS200SC M012997 (2010) Quantity: 1 unit, 5812 HRS, ",34,"325,000",manual,accepted,2025-02-06 01:55:10PM SAST,2704195
48,C3610047 LOADER SKIDSTEER BOBCAT S150 40 M3 F3594 (1964),4,"87,000",manual,accepted,2025-02-06 01:55:09PM SAST,1919665
67,S1850040 CRANE TRUCK EFFER 10000T2S 10 TON WTE0097 (1987),52,"7,700",manual,sold,2025-02-06 01:55:08PM SAST,2704297
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),4,"97,000",auto,accepted,2025-02-06 01:55:03PM SAST,1919665
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),4,"100,000",maxbid,outbid,2025-02-06 01:55:03PM SAST,1919665
51,S2170019 CRANE MOBILE TADANO TL250E 25 TON H0536 (2012),34,"175,000",manual,accepted,2025-02-06 01:54:59PM SAST,2704195
60, I2870145 BUS PASSENGER 35-SEAT TATA LPO918 M027412 (2012),41,"112,500",manual,accepted,2025-02-06 01:54:57PM SAST,2704216
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),18,"112,500",manual,accepted,2025-02-06 01:54:56PM SAST,2704134
61, I2870061 BUS PASSENGER 35-SEAT TATA LPO918 (2012),52,"110,000",manual,accepted,2025-02-06 01:54:52PM SAST,2704297
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),42,"96,000",manual,accepted,2025-02-06 01:54:51PM SAST,2704218
62,2870010 BUS PASSENGER 35-SEAT TATA LPO918 F9497 (2011),41,"105,000",manual,accepted,2025-02-06 01:54:50PM SAST,2704216
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),4,"95,000",manual,accepted,2025-02-06 01:54:47PM SAST,1919665
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),42,"94,000",manual,accepted,2025-02-06 01:54:42PM SAST,2704218
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),4,"93,000",manual,accepted,2025-02-06 01:54:37PM SAST,1919665
60, I2870145 BUS PASSENGER 35-SEAT TATA LPO918 M027412 (2012),18,"110,000",manual,accepted,2025-02-06 01:54:37PM SAST,2704134
67,S1850040 CRANE TRUCK EFFER 10000T2S 10 TON WTE0097 (1987),7,"7,600",manual,accepted,2025-02-06 01:54:33PM SAST,2703983
53, I2830069 TRUCK FLAT D/SIDE 5-TON TATA LPT1116 F9431 (2010),42,"92,000",manual,accepted,2025-02-06 01:54:31PM SAST,2704218
35,I3370617 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M085412 (2016),60,"30,500",manual,accepted,2025-02-06 01:54:31PM SAST,2704400
63, D6770024 TRUCK TANKER DIESEL 6000L L3461 (2013),33,"52,000",manual,accepted,2025-02-06 01:54:26PM SAST,2704190
11,F2320010 Pump Multi-Stage Matherplatt 150-200G L3684 (1982),43,"24,500",manual,accepted,2025-02-06 01:54:26PM SAST,2704220
35,I3370617 TRUCK LDV 4X2 SC MANHINDRA GENIO 2.2D M085412 (2016),47,"30,000",manual,accepted,2025-02-06 01:54:24PM SAST,2704233
59, I2830051 TRUCK FLAT D/SIDE 5-TON TATA LPT116 F9428 (2010),24,"78,000",manual,accepted,2025-02-06 01:54:19PM SAST,2704143
11,F2320010 Pump Multi-Stage Matherplatt 150-200G L3684 (1982),47,"24,250",manual,accepted,2025-02-06 01:54:15PM SAST,2704233
64,I2870111 BUS PASSENGER 35-SEAT TATA LPO918 M027409 (2012),41,"44,000",manual,accepted,2025-02-06 01:54:02PM SAST,2704216
